method,N,J,h,h_over_J,E0,e0,Mz,Mx,de0_dh_over_J,dMz_dh_over_J,dMx_dh_over_J
exact,10,1.0,0.8,0.8,-11.067490944865863,-1.1067490944865863,7.488176745340525e-14,0.5697262562147161,-0.616087833824195,-6.472461455686587e-13,0.9040673215372488
exact,10,1.0,0.9,0.9,-11.683578778690059,-1.1683578778690058,1.01571528965394e-14,0.6601329883684409,-0.6569995273944397,-6.935736707180953e-13,0.8126439925749798
exact,10,1.0,1.0,1.0,-12.381489999654741,-1.2381489999654742,-6.383296669021376e-14,0.732255054729712,-0.7290490448820106,-2.2537180455195477e-13,0.6258411346566398
exact,10,1.0,1.1,1.1,-13.14167686845408,-1.314167686845408,-3.4917208013851566e-14,0.7853012152997689,-0.7829250089471709,1.8213468927497092e-13,0.45901997744800815
exact,10,1.0,1.2,1.2,-13.947340017549084,-1.3947340017549084,-2.7406028835219587e-14,0.8240590502193136,-0.805663149095005,7.51117917863199e-14,0.38757834919544704
mps,10,1.0,0.8,0.8,-11.067490942928135,-1.1067490942928135,-3.976769322062878e-5,0.5697262577105364,-0.6160878342800525,0.00041695086028417655,0.9040671475264141
mps,10,1.0,0.9,0.9,-11.683578777208188,-1.1683578777208188,1.9273928077888602e-6,0.6601329724631778,-0.6569995268554264,0.0001991414449716973,0.812644002541327
mps,10,1.0,1.0,1.0,-12.381489996638988,-1.2381489996638988,6.059577371066797e-8,0.7322550582188018,-0.7290490448951101,-9.607307643699106e-6,0.625841221472768
mps,10,1.0,1.1,1.1,-13.14167686699841,-1.3141676866998409,5.931279049038397e-9,0.7853012167577315,-0.782925009633594,-3.1778675681383606e-7,0.45901996786728416
mps,10,1.0,1.2,1.2,-13.947340015906176,-1.3947340015906176,-2.96157765209923e-9,0.8240590517922586,-0.8056631489077681,-8.892856701137637e-8,0.3875783503452717
mps,20,1.0,0.8,0.8,-22.712964675318364,-1.1356482337659182,-0.7466309365512278,0.4968412762819975,-0.5485452165678552,8.02134479922551,1.0182344663615108
mps,20,1.0,0.9,0.9,-23.810055108454073,-1.1905027554227037,0.05550354337132305,0.5986647229181485,-0.5987080997796058,3.7323328292375137,0.990508259016127
mps,20,1.0,1.0,1.0,-25.107797074436785,-1.2553898537218393,-0.00016437070372522878,0.6949429280852228,-0.6899459734230993,-0.2774988919090079,0.8192608649884168
mps,20,1.0,1.1,1.1,-26.56983900214647,-1.3284919501073236,3.7649895214532697e-6,0.7625168959158319,-0.7589188608304933,0.0008219038395036309,0.5671542850689771
mps,20,1.0,1.2,1.2,-28.14347251775876,-1.407173625887938,1.0064175497374643e-8,0.8083737850990182,-0.7868167578061446,-3.7549253459559e-5,0.4585688918318637
product,10,1.0,0.8,0.8,-10.87203636007919,-1.087203636007919,-0.8783989654515603,0.46113273006688127,-0.4872002233705387,0.3046143514393374,0.5307069514456954
product,10,1.0,0.9,0.9,-11.359236583449727,-1.1359236583449728,-0.8479375303076265,0.5142034252114508,-0.5130345133840798,0.31838599060906975,0.5179820257483637
product,10,1.0,1.0,1.0,-11.898105386847348,-1.1898105386847349,-0.8147217673297463,0.564729135216554,-0.5658660808542202,0.3725879660303887,0.5211951088953041
product,10,1.0,1.1,1.1,-12.490968745158169,-1.2490968745158169,-0.7734199371015488,0.6184424469905117,-0.6162047176246112,0.41192655465377714,0.5112700860817638
product,10,1.0,1.2,1.2,-13.13051482209657,-1.313051482209657,-0.7323364563989909,0.6669831524329067,-0.6395460769384029,0.41083480702557906,0.4854070544239515
