method,N,J,h,h_over_J,E0,e0,Mz,Mx
exact,10,1.0,0.8,0.8,-11.067490944865863,-1.1067490944865863,7.488176745340525e-14,0.5697262562147161
exact,10,1.0,0.9,0.9,-11.683578778690059,-1.1683578778690058,1.01571528965394e-14,0.6601329883684409
exact,10,1.0,1.0,1.0,-12.381489999654741,-1.2381489999654742,-6.383296669021376e-14,0.732255054729712
exact,10,1.0,1.1,1.1,-13.14167686845408,-1.314167686845408,-3.4917208013851566e-14,0.7853012152997689
exact,10,1.0,1.2,1.2,-13.947340017549084,-1.3947340017549084,-2.7406028835219587e-14,0.8240590502193136
