method,N,J,h,h_over_J,E0,e0,Mz,Mx
product,10,1.0,0.8,0.8,-10.87203636007919,-1.087203636007919,-0.8783989654515603,0.46113273006688127
product,10,1.0,0.9,0.9,-11.359236583449727,-1.1359236583449728,-0.8479375303076265,0.5142034252114508
product,10,1.0,1.0,1.0,-11.898105386847348,-1.1898105386847349,-0.8147217673297463,0.564729135216554
product,10,1.0,1.1,1.1,-12.490968745158169,-1.2490968745158169,-0.7734199371015488,0.6184424469905117
product,10,1.0,1.2,1.2,-13.13051482209657,-1.313051482209657,-0.7323364563989909,0.6669831524329067
