profile,h_over_J,N,r,value
connected_zz,1.4,40,1,0.3840724748749278
connected_zz,1.4,40,2,0.21130874959259338
connected_zz,1.4,40,3,0.1275113653729503
connected_zz,1.4,40,4,0.08035114994478498
connected_zz,1.4,40,5,0.05193009539329057
connected_zz,1.4,40,6,0.03412747989218639
connected_zz,1.4,40,7,0.022695267656491963
connected_zz,1.4,40,8,0.01522621264622384
connected_zz,1.4,40,9,0.010284691301106616
connected_zz,1.4,40,10,0.006984297168188879
connected_zz,1.4,40,11,0.004763477042228601
connected_zz,1.4,40,12,0.0032600994717503595
connected_zz,1.4,40,13,0.002237427876318133
connected_zz,1.4,40,14,0.0015390006609837085
connected_zz,1.4,40,15,0.0010604822615652649
connected_zz,1.4,40,16,0.0007317809610963085
connected_zz,1.4,40,17,0.0005055204041574024
connected_zz,1.4,40,18,0.00034951526473467326
connected_zz,1.4,40,19,0.0002418088199487353
connected_zz,1.4,40,20,0.00016737094798872028
