profile,h_over_J,N,r,value
connected_zz,0.6,40,10,2.5807717604816226e-7
connected_zz,0.6,40,11,8.769345022172177e-8
connected_zz,0.6,40,12,2.9628915174503438e-8
connected_zz,0.6,40,13,9.892206083079641e-9
connected_zz,0.6,40,14,3.254935675690317e-9
connected_zz,0.6,40,15,1.057277891902686e-9
connected_zz,0.6,40,16,3.401770902004368e-10
connected_zz,0.6,40,17,1.0876569693205896e-10
connected_zz,0.6,40,18,3.464555914883311e-11
connected_zz,0.6,40,19,1.101484512066095e-11
connected_zz,0.6,40,20,3.5000891074332685e-12
zz,1.0,40,0,0.9999999999999997
zz,1.0,40,1,0.6082816406266206
zz,1.0,40,2,0.4970834331393255
zz,1.0,40,3,0.43486160015476943
zz,1.0,40,4,0.39213605813948116
zz,1.0,40,5,0.3597141876831653
zz,1.0,40,6,0.33361186856545505
zz,1.0,40,7,0.31175351098098947
zz,1.0,40,8,0.2929277679291906
zz,1.0,40,9,0.2763681366403724
zz,1.0,40,10,0.26155936900741883
zz,1.0,40,11,0.24813868526987176
zz,1.0,40,12,0.23584119087917838
zz,1.0,40,13,0.2244675875762367
zz,1.0,40,14,0.21386405044096365
zz,1.0,40,15,0.20390901398427938
zz,1.0,40,16,0.1945046532307119
zz,1.0,40,17,0.1855708606090625
zz,1.0,40,18,0.17704077109303942
zz,1.0,40,19,0.16885790814021298
zz,1.0,40,20,0.1609738882434341
xx,1.0,40,0,0.9999999999999997
xx,1.0,40,1,0.5908610339841056
xx,1.0,40,2,0.4708729982888505
xx,1.0,40,3,0.453125575359069
xx,1.0,40,4,0.4470347413770448
xx,1.0,40,5,0.4442633345801606
xx,1.0,40,6,0.44285250556939226
xx,1.0,40,7,0.4421310968257868
xx,1.0,40,8,0.44181597644600207
xx,1.0,40,9,0.4417695165134106
xx,1.0,40,10,0.44191815011146063
xx,1.0,40,11,0.4422202714200421
xx,1.0,40,12,0.4426515935225268
xx,1.0,40,13,0.4431981729833334
xx,1.0,40,14,0.44385265029222537
xx,1.0,40,15,0.44461226962445893
xx,1.0,40,16,0.44547776242589515
xx,1.0,40,17,0.4464527434884801
xx,1.0,40,18,0.44754348835813695
xx,1.0,40,19,0.44875896476383
xx,1.0,40,20,0.4501109457263567
connected_zz,1.0,40,0,0.999999744837495
connected_zz,1.0,40,1,0.6082813804419737
connected_zz,1.0,40,2,0.49708316907002753
connected_zz,1.0,40,3,0.43486133311237074
connected_zz,1.0,40,4,0.39213578879675776
connected_zz,1.0,40,5,0.3597139167493634
connected_zz,1.0,40,6,0.3336115966971079
connected_zz,1.0,40,7,0.3117532388156866
connected_zz,1.0,40,8,0.2929274960622679
connected_zz,1.0,40,9,0.2763678656389665
connected_zz,1.0,40,10,0.2615590994111726
connected_zz,1.0,40,11,0.24813841760346206
connected_zz,1.0,40,12,0.23584092565783557
connected_zz,1.0,40,13,0.22446732530788707
connected_zz,1.0,40,14,0.21386379162360367
connected_zz,1.0,40,15,0.2039087591100364
connected_zz,1.0,40,16,0.19450440277394643
connected_zz,1.0,40,17,0.1855706150330964
connected_zz,1.0,40,18,0.1770405308392535
connected_zz,1.0,40,19,0.16885767363555257
connected_zz,1.0,40,20,0.16097365989509974
zz,1.4,40,0,1.0000000000000004
zz,1.4,40,1,0.38407247487492713
zz,1.4,40,2,0.21130874959259296
zz,1.4,40,3,0.12751136537295976
zz,1.4,40,4,0.08035114994471655
zz,1.4,40,5,0.05193009539347528
zz,1.4,40,6,0.03412747989207433
zz,1.4,40,7,0.022695267656263007
zz,1.4,40,8,0.015226212646210444
zz,1.4,40,9,0.010284691301335918
zz,1.4,40,10,0.006984297168497872
zz,1.4,40,11,0.004763477042455175
zz,1.4,40,12,0.003260099471741389
zz,1.4,40,13,0.0022374278760789903
zz,1.4,40,14,0.0015390006605877232
zz,1.4,40,15,0.001060482261074787
zz,1.4,40,16,0.0007317809605887625
zz,1.4,40,17,0.0005055204036689689
zz,1.4,40,18,0.00034951526430443224
zz,1.4,40,19,0.00024180881958748863
zz,1.4,40,20,0.0001673709477111837
xx,1.4,40,0,1.0000000000000004
xx,1.4,40,1,0.8465801622974343
xx,1.4,40,2,0.7488852010822117
xx,1.4,40,3,0.740423088107551
xx,1.4,40,4,0.7388171235043378
xx,1.4,40,5,0.7384788571775903
xx,1.4,40,6,0.7384672352065588
xx,1.4,40,7,0.738559035750993
xx,1.4,40,8,0.7386913955653486
xx,1.4,40,9,0.7388448232979801
xx,1.4,40,10,0.7390132257479775
xx,1.4,40,11,0.7391951083120354
xx,1.4,40,12,0.7393907376660473
